readLength	qualityScore	positionInRead	N	ExpectedCorrect	EmpiricalCorrect
101	F	8	140350178	0.9998	0.999733478082763
101	G	8	95676548	0.999842	0.999796028856779
101	H	8	1125797855	0.999874	0.999813207852791
101	I	8	0	0.9999	0
101	J	8	0	0.999921	0
101	#	9	1715076	0.369043	0.801305014144563
101	&	9	4983	0.683772	0.797712272526591
101	'	9	4988	0.748811	0.683440313352046
101	(	9	2473	0.800474	0.851597276991509
101	)	9	599131	0.841511	0.83889834039968
101	*	9	338	0.874107	0.92603550591716
101	+	9	4235663	0.9	0.893759249747441
101	,	9	1520750	0.920567	0.918581634203517
101	-	9	3601	0.936904	0.971396838655929
101	.	9	526	0.949881	0.96958174904943
101	/	9	1905	0.960189	0.944881892388452
101	0	9	515906	0.968377	0.983787724938264
101	1	9	474947	0.974881	0.975734140546207
101	2	9	5577302	0.980047	0.990623436802239
101	3	9	1317756	0.984151	0.986415559084535
101	4	9	1377231	0.987411	0.985919559707123
101	5	9	11147	0.99	0.998833764510631
101	6	9	171610	0.992057	0.992552865590581
101	7	9	141884	0.99369	0.995087523949141
101	8	9	1812734	0.994988	0.994542503939903
101	9	9	9252	0.996019	0.998270640726329
101	:	9	6590191	0.996838	0.997100559467397
101	;	9	2126089	0.997488	0.99752408630824
101	<	9	8433563	0.998005	0.997908593278784
101	=	9	5495181	0.998415	0.999088834367784
101	>	9	3568108	0.998741	0.998325709868929
101	?	9	16982449	0.999	0.99898401634146
101	@	9	1567234	0.999206	0.99901099438565
101	A	9	23979608	0.999369	0.999366090853571
101	B	9	22837417	0.999499	0.999443338180672
101	C	9	17868811	0.999602	0.999643851928368
101	D	9	73941676	0.999684	0.999638453873929
101	E	9	49089	0.999749	0.999857401332274
101	F	9	140864202	0.9998	0.999737982289142
101	G	9	96911239	0.999842	0.999798825164891
101	H	9	1124094102	0.999874	0.999814824707184
101	I	9	0	0.9999	0
101	J	9	0	0.999921	0
101	#	10	1801373	0.369043	0.815464102791038
101	&	10	6554	0.683772	0.788526130607264
101	'	10	5037	0.748811	0.697637541790749
101	(	10	4211	0.800474	0.876751382806933
101	)	10	643995	0.841511	0.830785950470112
101	*	10	6728	0.874107	0.918697994500597
101	+	10	4432335	0.9	0.890317403863877
101	,	10	1586199	0.920567	0.915065505099297
101	-	10	5293	0.936904	0.974683543359154
101	.	10	759	0.949881	0.988142295125165
101	/	10	2171	0.960189	0.944265328880701
101	0	10	526345	0.968377	0.980277186339758
101	1	10	495777	0.974881	0.976120323984372
101	2	10	5532166	0.980047	0.989511176956548
101	3	10	1371888	0.984151	0.98596824140965
101	4	10	1425117	0.987411	0.986120433428274
101	5	10	13525	0.99	0.998817004510166
101	6	10	184768	0.992057	0.991643574515065
101	7	10	151161	0.99369	0.994945779797697
101	8	10	1887767	0.994988	0.994562362906015
101	9	10	21288	0.996019	0.997745203166103
101	:	10	6780115	0.996838	0.997004932720756
101	;	10	2188108	0.997488	0.997559062690232
101	<	10	10816794	0.998005	0.998164716581919
101	=	10	3240546	0.998415	0.998990911984587
101	>	10	3667898	0.998741	0.998408633256159
101	?	10	17391381	0.999	0.99898238298402
101	@	10	1560099	0.999206	0.999051973467068
101	A	10	24241385	0.999369	0.999374042162815
101	B	10	23283394	0.999499	0.999456792034058
101	C	10	17838345	0.999602	0.999656687883657
101	D	10	74891966	0.999684	0.999647747119044
101	E	10	48453	0.999749	0.999731697232369
101	F	10	141769746	0.9998	0.999741994946008
101	G	10	99540335	0.999842	0.99980424802855
101	H	10	1117626172	0.999874	0.999823829954541
101	I	10	0	0.9999	0
101	J	10	0	0.999921	0
101	#	11	1921463	0.369043	0.81818593895485
101	&	11	7627	0.683772	0.779467745509377
101	'	11	6467	0.748811	0.750889180299986
101	(	11	6192	0.800474	0.848998732396642
101	)	11	674180	0.841511	0.826850384737015
101	*	11	15815	0.874107	0.903888672715776
101	+	11	4606145	0.9	0.885212904388377
101	,	11	1656123	0.920567	0.909626885501862
101	-	11	6774	0.936904	0.970327708739298
101	.	11	1234	0.949881	0.983792546191248
101	/	11	3785	0.960189	0.963011892206076
101	0	11	537438	0.968377	0.979634848607654
101	1	11	513895	0.974881	0.975421049829246
101	2	11	5581953	0.980047	0.988499001353111
101	3	11	1407764	0.984151	0.985658088078684
101	4	11	1470896	0.987411	0.986094208228864
101	5	11	15062	0.99	0.998207408245917
101	6	11	209573	0.992057	0.99148746394335
101	7	11	155007	0.99369	0.994935703406942
101	8	11	1930730	0.994988	0.994510879249817
101	9	11	35663	0.996019	0.99613043978353
101	:	11	6884810	0.996838	0.99685118142287
101	;	11	2223820	0.997488	0.997563199674435
101	<	11	13100877	0.998005	0.998281426231466
101	=	11	1102366	0.998415	0.99877807908807
101	>	11	3740793	0.998741	0.998404899544027
101	?	11	17639802	0.999	0.998965753952453
101	@	11	1544537	0.999206	0.99906703646724
101	A	11	24479606	0.999369	0.999391560069227
101	B	11	23529770	0.999499	0.999470705716249
101	C	11	17960629	0.999602	0.999668923378465
101	D	11	75591229	0.999684	0.999662829436191
101	E	11	54597	0.999749	0.999706943769804
101	F	11	142801543	0.9998	0.999756794914378
101	G	11	101510649	0.999842	0.99981371166824
101	H	11	1112192718	0.999874	0.999833808261304
101	I	11	0	0.9999	0
101	J	11	0	0.999921	0
101	#	12	2062088	0.369043	0.819404417445811
101	&	12	8645	0.683772	0.78079820601504
101	'	12	8280	0.748811	0.768115986714978
101	(	12	18655	0.800474	0.844331285178237
101	)	12	682900	0.841511	0.82240591488505
101	*	12	30852	0.874107	0.888240628127838
101	+	12	4673177	0.9	0.883026283243713
101	,	12	1685061	0.920567	0.907932712541565
101	-	12	8647	0.936904	0.976639283219615
101	.	12	3736	0.949881	0.961456110010707
101	/	12	4449	0.960189	0.967408399640368
101	0	12	555522	0.968377	0.978027857573597
101	1	12	522143	0.974881	0.97521368493114
101	2	12	5652754	0.980047	0.987525553454122
101	3	12	1407866	0.984151	0.985514944626834
101	4	12	1473907	0.987411	0.985835613341955
101	5	12	17295	0.99	0.997976288927435
101	6	12	216990	0.992057	0.99083827566708
101	7	12	162476	0.99369	0.994669982409708
101	8	12	1943947	0.994988	0.994369196863392
101	9	12	58477	0.996019	0.996152330506012
101	:	12	6926321	0.996838	0.996750360443012
101	;	12	2233835	0.997488	0.997548163354498
101	<	12	13742595	0.998005	0.998211627197992
101	=	12	558849	0.998415	0.998402093569104
101	>	12	3763963	0.998741	0.998327824211875
101	?	12	17791105	0.999	0.998964422786443
101	@	12	1528621	0.999206	0.998911431581798
101	A	12	24671258	0.999369	0.99935143238995
101	B	12	23692925	0.999499	0.999481500815116
101	C	12	18052403	0.999602	0.999636224758887
101	D	12	76104963	0.999684	0.999663893900453
101	E	12	62092	0.999749	0.999919474586098
101	F	12	143588319	0.9998	0.999765735183136
101	G	12	103766122	0.999842	0.9998251091114
101	H	12	1107582471	0.999874	0.999847166945869
101	I	12	0	0.9999	0
101	J	12	0	0.999921	0
101	#	13	2114626	0.369043	0.863021151657076
101	&	13	8990	0.683772	0.772191379755285
101	'	13	16950	0.748811	0.780707995457227
101	(	13	24733	0.800474	0.864957741074681
101	)	13	680191	0.841511	0.829468471552843
101	*	13	47493	0.874107	0.885730536458005
101	+	13	4619430	0.9	0.888654235543562
101	,	13	1654890	0.920567	0.913924213889745
101	-	13	12381	0.936904	0.972619315079558
101	.	13	3740	0.949881	0.971657752673796
101	/	13	5592	0.960189	0.974785402896996
101	0	13	105870	0.968377	0.97498817692453
101	1	13	836331	0.974881	0.977545961731657
101	2	13	5894015	0.980047	0.989461351196427
101	3	13	1451616	0.984151	0.986404798819383
101	4	13	1492260	0.987411	0.986324772494069
101	5	13	18909	0.99	0.998307680258078
101	6	13	227981	0.992057	0.990253561042366
101	7	13	168117	0.99369	0.994759599255279
101	8	13	583295	0.994988	0.994131617870888
101	9	13	1500152	0.996019	0.995037822545983
101	:	13	6949191	0.996838	0.997004976349621
101	;	13	2254849	0.997488	0.997578118165784
101	<	13	13868828	0.998005	0.998440672590721
101	=	13	538682	0.998415	0.998487046721444
101	>	13	3787330	0.998741	0.998449567494515
101	?	13	8652435	0.999	0.999074939414282
101	@	13	10348690	0.999206	0.99895049020562
